Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,B365H,B365D,B365A
E0,Charlton,Tottenham,2,4,18,12,14,10,2.1,3.25,3.4
E0,Fulham,Aston Villa,1,2,13,10,6,3,2.2,3.25,3.2
E0,Liverpool,Man City,2,1,12,6,7,3,1.61,3.6,5.5
E0,Man United,Middlesbrough,2,3,23,12,13,8,1.25,5.5,11
E0,Portsmouth,Chelsea,0,2,11,10,5,4,5.5,3.6,1.61
E0,Bolton,Man City,1,3,16,17,11,13,2.2,3.25,3.2
E0,Charlton,Blackburn,3,2,11,18,7,12,2.2,3.25,3.2
E0,Chelsea,Arsenal,1,2,10,9,4,7,2.625,3.2,2.6
E0,Man United,Leeds,1,1,24,7,7,3,1.222,5.5,13
E0,Newcastle,Middlesbrough,2,1,16,8,9,4,1.727,3.4,5
E0,Southampton,Everton,3,3,9,12,5,6,2,3.2,3.75
E0,Wolves,Fulham,2,1,12,9,10,5,2.6,3.2,2.625
E0,Aston Villa,Birmingham,2,2,11,13,8,9,2.1,3.1,3.6
E0,Tottenham,Leicester,4,4,10,14,9,7,1.571,3.5,6.5
E0,Arsenal,Charlton,2,1,21,6,11,3,1.286,5,10
E0,Blackburn,Southampton,1,1,16,10,7,6,2.1,3.25,3.4
E0,Everton,Aston Villa,2,0,15,12,7,8,2.375,3.25,2.875
E0,Fulham,Man United,1,1,7,13,3,7,5,3.6,1.667
E0,Leicester,Wolves,0,0,10,6,6,3,2.2,3.25,3.2
E0,Man City,Chelsea,0,1,14,9,4,4,4.333,3.3,1.833
E0,Leeds,Liverpool,2,2,12,22,6,13,3.2,3.25,2.2
E0,Portsmouth,Newcastle,1,1,18,5,8,2,3.2,3.25,2.2
E0,Birmingham,Middlesbrough,3,1,9,8,5,6,2.1,3.25,3.4
E0,Birmingham,Bolton,2,0,10,10,6,2,2.1,3.25,3.2
E0,Middlesbrough,Tottenham,1,0,10,10,6,2,2.2,3.25,2.8
E0,Birmingham,Leicester,0,1,6,4,4,2,1.571,3.5,6.5
E0,Blackburn,Arsenal,0,2,10,14,5,5,6.5,3.75,1.533
E0,Bolton,Chelsea,0,2,20,12,11,8,4.5,3.6,1.727
